GDP,poplation(20-)(male),poplation(20+)(male),poplation(65+)(male),poplation(20-)(female),poplation(20+)(female),poplation(65+)(female),employment(20-)(female),employment(20+)(female),employment(65+)(female),employment(20-)(male),employment(20+)(male),employment(65+)(male),crime
123220,268267,551620,123660,254821,540615,154938,38.25613752,40.41159714,50.96576,54.58328401,43.4381473,55.13949838,49055
127954,269928,552358,127624,255483,540911,158456,32.73590379,47.85017134,50.92031655,54.66411537,52.20021304,44.72942661,44986
132741,270503,552801,131646,256473,540725,162423,40.81091921,48.16144631,42.82825256,50.2678443,51.8715966,42.68930082,44365
135285,271082,552960,135635,257285,540468,166396,43.49431174,47.94882293,54.48916141,47.69811581,52.08367759,45.68375119,37623
149360,278430,561374,139059,262782,543123,166712,37.90149184,47.04979651,58.20588361,45.90147067,52.97123531,32.81445788,22655
496000,1071218,2697355,503598,1027456,2763119,641869,52.601911,47.69764515,45.72942424,47.398089,52.30235485,54.27057576,393553
511000,1069914,2712570,524263,1028475,2778234,663898,52.6545959,47.62650103,43.88491477,47.3454041,52.37349897,56.11508523,394187
533000,1070427,2722234,544231,1028177,2787161,686148,51.65470195,47.60658948,43.65065375,48.34529805,52.39341052,56.34934625,362496
558000,1072089,2725335,563050,1027466,2789809,709161,51.77875244,47.65969876,43.59248402,48.22124756,52.34030124,56.40751598,375639
557000,1074172,2737077,582382,1028526,2798161,732708,51.45380762,47.57406715,44.31129888,48.54619238,52.42593285,55.68870112,338784
605000,1090806,2773161,594160,1037210,2802284,734589,50.91240169,47.30667146,42.46431663,49.08759831,52.69332854,57.53568337,324558
170389,420705,906396,215458,399668,888653,275709,52.30869935,48.015443,48.00642188,47.69130065,51.984557,51.99363479,94765
187125,422650,905235,220842,399966,889383,280026,52.13553161,48.04351707,48.67607215,47.86446839,51.95692231,51.32392785,100227
189245,421763,905500,227565,402331,889030,286310,52.227594,47.92817014,49.15459656,47.772406,52.07168946,50.84540344,94385
188318,418103,905957,234110,402260,887464,291614,53.05046254,47.96173333,48.97459096,46.94953746,52.03826667,51.02529208,96347
187137,417549,905774,240564,402198,886629,297297,52.91320784,47.98651769,47.13815173,47.08679216,52.01354959,52.86210737,79268
198471,426413,917049,245684,408319,886815,294810,52.77267812,47.65085712,45.49472257,47.22732188,52.34888209,54.50527743,70106
2427895,5220450,11784098,2196368,4988797,11684900,2779593,50.67002248,46.02311395,43.55713753,49.32997752,53.97688605,56.44286247,1429619
2538204,5195939,11889468,2278901,4974764,11774016,2869759,51.01088168,46.03053137,42.96644741,48.98911832,53.96946863,57.03355259,1403107
2644061,5169793,11924654,2357714,4946362,11791869,2958368,50.23621278,46.05513242,44.1005273,49.76378722,53.94486758,55.8994727,1394208
2729226,5138469,11946999,2437977,4918260,11793263,3048529,49.97734546,46.11788255,43.52422695,50.02265454,53.88211745,56.47577305,1349131
2667221,5101854,11946842,2511905,4880572,11771036,3133814,49.78534929,46.16520617,43.15494071,50.21465071,53.83479383,56.84505929,1127118
2874731,5130055,12031068,2551067,4894234,11726743,3122186,49.38391732,45.98457008,42.22770163,50.61608268,54.01542992,57.77229837,1059642
