realgdp,poplation,femaleemp,maleemp,crime
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
202994466667,3189225,47,52,71418
205256200000,3194292,48,52,72074
207517933333,3199359,48,52,72730
209779666667,3204426,48,51,73386
212041400000,3209494,48,51,74042
214303133333,3214561,48,51,74698
216564866667,3219628,48,50,75354
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
202994466667,3189225,47,52,71418
205256200000,3194292,48,52,72074
207517933333,3199359,48,52,72730
209779666667,3204426,48,51,73386
212041400000,3209494,48,51,74042
214303133333,3214561,48,51,74698
216564866667,3219628,48,50,75354
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
202994466667,3189225,47,52,71418
205256200000,3194292,48,52,72074
207517933333,3199359,48,52,72730
209779666667,3204426,48,51,73386
212041400000,3209494,48,51,74042
214303133333,3214561,48,51,74698
216564866667,3219628,48,50,75354
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
202994466667,3189225,47,52,71418
205256200000,3194292,48,52,72074
207517933333,3199359,48,52,72730
209779666667,3204426,48,51,73386
212041400000,3209494,48,51,74042
214303133333,3214561,48,51,74698
216564866667,3219628,48,50,75354
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
202994466667,3189225,47,52,71418
205256200000,3194292,48,52,72074
207517933333,3199359,48,52,72730
209779666667,3204426,48,51,73386
212041400000,3209494,48,51,74042
214303133333,3214561,48,51,74698
216564866667,3219628,48,50,75354
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
202994466667,3189225,47,52,71418
205256200000,3194292,48,52,72074
207517933333,3199359,48,52,72730
209779666667,3204426,48,51,73386
212041400000,3209494,48,51,74042
214303133333,3214561,48,51,74698
216564866667,3219628,48,50,75354
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
202994466667,3189225,47,52,71418
205256200000,3194292,48,52,72074
207517933333,3199359,48,52,72730
209779666667,3204426,48,51,73386
212041400000,3209494,48,51,74042
214303133333,3214561,48,51,74698
216564866667,3219628,48,50,75354
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
202994466667,3189225,47,52,71418
205256200000,3194292,48,52,72074
207517933333,3199359,48,52,72730
209779666667,3204426,48,51,73386
212041400000,3209494,48,51,74042
214303133333,3214561,48,51,74698
216564866667,3219628,48,50,75354
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
202994466667,3189225,47,52,71418
205256200000,3194292,48,52,72074
207517933333,3199359,48,52,72730
209779666667,3204426,48,51,73386
212041400000,3209494,48,51,74042
214303133333,3214561,48,51,74698
216564866667,3219628,48,50,75354
170389000000,3106589,49,52,94765
187125000000,3118102,49,51,100227
189245000000,3132499,49,51,94385
188318000000,3139508,49,51,96347
187137000000,3150011,48,52,79268
198471000000,3179090,47,53,70106
200732733333,3184157,47,52,70762
